"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Greivis VÃ¡squez",26,78,2685,16.3,0.502,0.24,0.152,1.9,13.3,7.5,44.9,1.3,0.2,18.6,23,NA,3,0.7,3.8,0.067,NA,1.6,-1.9,-0.4,1.1
"2",2,"Ryan Anderson",24,81,2503,18.1,0.548,0.5,0.161,8.9,15.9,12.4,6.9,0.9,1,7.5,24,NA,5.7,0.8,6.5,0.125,NA,4.1,-2.1,2,2.5
"3",3,"Robin Lopez",24,82,2136,18.9,0.573,0,0.288,12.4,13.4,12.9,5.3,0.8,5,12,20,NA,4.4,1.2,5.6,0.126,NA,1.3,-0.7,0.6,1.4
"4",4,"Al-Farouq Aminu",22,76,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,NA,0.7,2.4,3.1,0.073,NA,-1.3,1.2,-0.1,1
"5",5,"Anthony Davis",19,64,1846,21.7,0.559,0.009,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,NA,3.7,2.4,6.1,0.159,NA,1.8,0.7,2.5,2.1
"6",6,"Austin Rivers",20,61,1418,5.9,0.431,0.221,0.277,1.3,8,4.6,13.9,1,0.5,14.5,16.8,NA,-1.2,0.1,-1.1,-0.038,NA,-4.7,-1.6,-6.2,-1.5
"7",7,"Brian Roberts",27,78,1324,14.6,0.509,0.299,0.151,1.5,7.3,4.4,28.2,1.5,0.2,11.5,21.6,NA,2,0.2,2.2,0.078,NA,0.8,-1.4,-0.6,0.5
"8",8,"Eric Gordon",24,42,1264,15.4,0.523,0.296,0.38,0.9,6.4,3.6,19.3,1.9,0.5,14.6,29.4,NA,0.8,0.3,1.1,0.042,NA,0.6,-1.9,-1.3,0.2
"9",9,"Roger Mason",32,69,1219,10,0.57,0.521,0.141,1.1,12,6.5,9.5,1.2,0.8,13.6,14.3,NA,1.1,0.3,1.4,0.057,NA,-1.3,-0.5,-1.9,0.1
"10",10,"Jason Smith",26,51,876,16.8,0.544,0.012,0.299,8.6,16.9,12.7,7,0.9,4.3,12.5,23.4,NA,1.1,0.6,1.7,0.095,NA,-1.4,-0.3,-1.6,0.1
"11",11,"Darius Miller",22,52,694,6.3,0.529,0.519,0.074,1.3,12.2,6.7,9.3,1.3,1.4,17.1,9,NA,0.2,0.3,0.5,0.034,NA,-3.6,0.9,-2.7,-0.1
"12",12,"Lance Thomas",24,59,646,10.1,0.565,0,0.557,8,13.3,10.6,4,0.9,0.9,9.6,10.5,NA,1,0.2,1.2,0.087,NA,-2.3,-0.7,-3,-0.2
"13",13,"Xavier Henry",21,50,625,7.6,0.481,0.068,0.571,3.9,13.4,8.6,3.2,1.4,0.7,13.3,17.3,NA,-0.2,0.2,0,0.002,NA,-4.6,-1.2,-5.7,-0.6
"14",14,"Lou Amundson",30,18,209,11.7,0.449,0,0.381,13.4,19.7,16.5,5.8,2.3,2.4,14,12.7,NA,0.1,0.2,0.3,0.065,NA,-2.1,1,-1.1,0
"15",15,"Dominic McGuire",27,9,145,9.1,0.434,0,0.095,5.7,17.6,11.5,9.1,3,1.7,18.6,8.6,NA,0,0.1,0.1,0.043,NA,-3.1,2.5,-0.6,0
"16",16,"Terrel Harris",25,13,108,-6.8,0.126,0.368,0.105,0,19.1,9.4,8.9,1,2.3,39.5,14.2,NA,-0.7,0.1,-0.6,-0.267,NA,-12.6,-0.7,-13.3,-0.3
"17",17,"Hakim Warrick",30,1,7,28.8,0.694,0,1,0,0,0,0,7.7,0,0,19.1,NA,0,0,0.1,0.353,NA,6.7,7.3,14,0
"18",18,"Donald Sloan",25,3,6,-3.3,NA,NA,NA,0,0,0,22.3,0,0,100,7.8,NA,0,0,0,-0.212,NA,-5.6,-3.7,-9.4,0
"19",19,"Henry Sims",22,2,5,29.2,0.667,0,0,46.8,0,23.8,0,0,0,25,37.2,NA,0,0,0,0.061,NA,5.2,-6.4,-1.2,0
